"pclass","age","sex","survived"
"491","2nd","adult","male",0
"492","2nd","adult","male",0
"493","2nd","adult","male",0
"494","2nd","adult","female",1
"495","2nd","adult","female",1
"496","2nd","adult","female",1
"497","2nd","adult","female",1
"498","2nd","adult","female",1
"499","2nd","adult","female",1
"500","2nd","adult","female",1
"501","2nd","adult","female",1
"502","2nd","adult","female",1
"503","2nd","adult","female",1
"504","2nd","adult","female",1
"505","2nd","adult","female",1
"506","2nd","adult","female",1
"507","2nd","adult","female",1
"508","2nd","adult","female",1
"509","2nd","adult","female",1
"510","2nd","adult","female",1
"511","2nd","adult","female",1
"512","2nd","adult","female",1
"513","2nd","adult","female",1
"514","2nd","adult","female",1
"515","2nd","adult","female",1
"516","2nd","adult","female",1
"517","2nd","adult","female",1
"518","2nd","adult","female",1
"519","2nd","adult","female",1
"520","2nd","adult","female",1
"521","2nd","adult","female",1
"522","2nd","adult","female",1
"523","2nd","adult","female",1
"524","2nd","adult","female",1
"525","2nd","adult","female",1
"526","2nd","adult","female",1
"527","2nd","adult","female",1
"528","2nd","adult","female",1
"529","2nd","adult","female",1
"530","2nd","adult","female",1
"531","2nd","adult","female",1
"532","2nd","adult","female",1
"533","2nd","adult","female",1
"534","2nd","adult","female",1
"535","2nd","adult","female",1
"536","2nd","adult","female",1
"537","2nd","adult","female",1
"538","2nd","adult","female",1
"539","2nd","adult","female",1
"540","2nd","adult","female",1
"541","2nd","adult","female",1
"542","2nd","adult","female",1
"543","2nd","adult","female",1
"544","2nd","adult","female",1
"545","2nd","adult","female",1
"546","2nd","adult","female",1
"547","2nd","adult","female",1
"548","2nd","adult","female",1
"549","2nd","adult","female",1
"550","2nd","adult","female",1
"551","2nd","adult","female",1
"552","2nd","adult","female",1
"553","2nd","adult","female",1
"554","2nd","adult","female",1
"555","2nd","adult","female",1
"556","2nd","adult","female",1
"557","2nd","adult","female",1
"558","2nd","adult","female",1
"559","2nd","adult","female",1
"560","2nd","adult","female",1
"561","2nd","adult","female",1
"562","2nd","adult","female",1
"563","2nd","adult","female",1
"564","2nd","adult","female",1
"565","2nd","adult","female",1
"566","2nd","adult","female",1
"567","2nd","adult","female",1
"568","2nd","adult","female",1
"569","2nd","adult","female",1
"570","2nd","adult","female",1
"571","2nd","adult","female",1
"572","2nd","adult","female",1
"573","2nd","adult","female",1
"574","2nd","adult","female",0
"575","2nd","adult","female",0
"576","2nd","adult","female",0
"577","2nd","adult","female",0
"578","2nd","adult","female",0
"579","2nd","adult","female",0
"580","2nd","adult","female",0
"581","2nd","adult","female",0
"582","2nd","adult","female",0
"583","2nd","adult","female",0
"584","2nd","adult","female",0
"585","2nd","adult","female",0
"586","2nd","adult","female",0
"587","2nd","child","male",1
"588","2nd","child","male",1
"589","2nd","child","male",1
"590","2nd","child","male",1
"591","2nd","child","male",1
"592","2nd","child","male",1
"593","2nd","child","male",1
"594","2nd","child","male",1
"595","2nd","child","male",1
"596","2nd","child","male",1
"597","2nd","child","male",1
"598","2nd","child","female",1
"599","2nd","child","female",1
"600","2nd","child","female",1
"601","2nd","child","female",1
"602","2nd","child","female",1
"603","2nd","child","female",1
"604","2nd","child","female",1
"605","2nd","child","female",1
"606","2nd","child","female",1
"607","2nd","child","female",1
"608","2nd","child","female",1
"609","2nd","child","female",1
"610","2nd","child","female",1
"611","3rd","adult","male",1
"612","3rd","adult","male",1
"613","3rd","adult","male",1
"614","3rd","adult","male",1
"615","3rd","adult","male",1
"616","3rd","adult","male",1
"617","3rd","adult","male",1
"618","3rd","adult","male",1
"619","3rd","adult","male",1
"620","3rd","adult","male",1
"621","3rd","adult","male",1
"622","3rd","adult","male",1
"623","3rd","adult","male",1
"624","3rd","adult","male",1
"625","3rd","adult","male",1
"626","3rd","adult","male",1
"627","3rd","adult","male",1
"628","3rd","adult","male",1
"629","3rd","adult","male",1
"630","3rd","adult","male",1
"631","3rd","adult","male",1
"632","3rd","adult","male",1
"633","3rd","adult","male",1
"634","3rd","adult","male",1
"635","3rd","adult","male",1
"636","3rd","adult","male",1
"637","3rd","adult","male",1
"638","3rd","adult","male",1
"639","3rd","adult","male",1
"640","3rd","adult","male",1
"641","3rd","adult","male",1
"642","3rd","adult","male",1
"643","3rd","adult","male",1
"644","3rd","adult","male",1
"645","3rd","adult","male",1
"646","3rd","adult","male",1
"647","3rd","adult","male",1
"648","3rd","adult","male",1
"649","3rd","adult","male",1
"650","3rd","adult","male",1
"651","3rd","adult","male",1
"652","3rd","adult","male",1
"653","3rd","adult","male",1
"654","3rd","adult","male",1
"655","3rd","adult","male",1
"656","3rd","adult","male",1
"657","3rd","adult","male",1
"658","3rd","adult","male",1
"659","3rd","adult","male",1
"660","3rd","adult","male",1
"661","3rd","adult","male",1
"662","3rd","adult","male",1
"663","3rd","adult","male",1
"664","3rd","adult","male",1
"665","3rd","adult","male",1
"666","3rd","adult","male",1
"667","3rd","adult","male",1
"668","3rd","adult","male",1
"669","3rd","adult","male",1
"670","3rd","adult","male",1
"671","3rd","adult","male",1
"672","3rd","adult","male",1
"673","3rd","adult","male",1
"674","3rd","adult","male",1
"675","3rd","adult","male",1
"676","3rd","adult","male",1
"677","3rd","adult","male",1
"678","3rd","adult","male",1
"679","3rd","adult","male",1
"680","3rd","adult","male",1
"681","3rd","adult","male",1
"682","3rd","adult","male",1
"683","3rd","adult","male",1
"684","3rd","adult","male",1
"685","3rd","adult","male",1
"686","3rd","adult","male",0
"687","3rd","adult","male",0
"688","3rd","adult","male",0
"689","3rd","adult","male",0
"690","3rd","adult","male",0
"691","3rd","adult","male",0
"692","3rd","adult","male",0
"693","3rd","adult","male",0
"694","3rd","adult","male",0
"695","3rd","adult","male",0
"696","3rd","adult","male",0
"697","3rd","adult","male",0
"698","3rd","adult","male",0
"699","3rd","adult","male",0
"700","3rd","adult","male",0
"701","3rd","adult","male",0
"702","3rd","adult","male",0
"703","3rd","adult","male",0
"704","3rd","adult","male",0
"705","3rd","adult","male",0
"706","3rd","adult","male",0
"707","3rd","adult","male",0
"708","3rd","adult","male",0
"709","3rd","adult","male",0
"710","3rd","adult","male",0
"711","3rd","adult","male",0
"712","3rd","adult","male",0
"713","3rd","adult","male",0
"714","3rd","adult","male",0
"715","3rd","adult","male",0
"716","3rd","adult","male",0
"717","3rd","adult","male",0
"718","3rd","adult","male",0
"719","3rd","adult","male",0
"720","3rd","adult","male",0
"721","3rd","adult","male",0
"722","3rd","adult","male",0
"723","3rd","adult","male",0
"724","3rd","adult","male",0
"725","3rd","adult","male",0
"726","3rd","adult","male",0
"727","3rd","adult","male",0
"728","3rd","adult","male",0
"729","3rd","adult","male",0
"730","3rd","adult","male",0
"731","3rd","adult","male",0
"732","3rd","adult","male",0
"733","3rd","adult","male",0
"734","3rd","adult","male",0
"735","3rd","adult","male",0
"736","3rd","adult","male",0
"737","3rd","adult","male",0
"738","3rd","adult","male",0
"739","3rd","adult","male",0
"740","3rd","adult","male",0
"741","3rd","adult","male",0
"742","3rd","adult","male",0
"743","3rd","adult","male",0
"744","3rd","adult","male",0
"745","3rd","adult","male",0
"746","3rd","adult","male",0
"747","3rd","adult","male",0
"748","3rd","adult","male",0
"749","3rd","adult","male",0
"750","3rd","adult","male",0
"751","3rd","adult","male",0
"752","3rd","adult","male",0
"753","3rd","adult","male",0
"754","3rd","adult","male",0
"755","3rd","adult","male",0
"756","3rd","adult","male",0
"757","3rd","adult","male",0
"758","3rd","adult","male",0
"759","3rd","adult","male",0
"760","3rd","adult","male",0
"761","3rd","adult","male",0
"762","3rd","adult","male",0
"763","3rd","adult","male",0
"764","3rd","adult","male",0
"765","3rd","adult","male",0
"766","3rd","adult","male",0
"767","3rd","adult","male",0
"768","3rd","adult","male",0
"769","3rd","adult","male",0
"770","3rd","adult","male",0
"771","3rd","adult","male",0
"772","3rd","adult","male",0
"773","3rd","adult","male",0
"774","3rd","adult","male",0
"775","3rd","adult","male",0
"776","3rd","adult","male",0
"777","3rd","adult","male",0
"778","3rd","adult","male",0
"779","3rd","adult","male",0
"780","3rd","adult","male",0
"781","3rd","adult","male",0
"782","3rd","adult","male",0
"783","3rd","adult","male",0
"784","3rd","adult","male",0
"785","3rd","adult","male",0
"786","3rd","adult","male",0
"787","3rd","adult","male",0
"788","3rd","adult","male",0
"789","3rd","adult","male",0
"790","3rd","adult","male",0
"791","3rd","adult","male",0
"792","3rd","adult","male",0
"793","3rd","adult","male",0
"794","3rd","adult","male",0
"795","3rd","adult","male",0
"796","3rd","adult","male",0
"797","3rd","adult","male",0
"798","3rd","adult","male",0
"799","3rd","adult","male",0
"800","3rd","adult","male",0
"801","3rd","adult","male",0
"802","3rd","adult","male",0
"803","3rd","adult","male",0
"804","3rd","adult","male",0
"805","3rd","adult","male",0
"806","3rd","adult","male",0
"807","3rd","adult","male",0
"808","3rd","adult","male",0
"809","3rd","adult","male",0
"810","3rd","adult","male",0
"811","3rd","adult","male",0
"812","3rd","adult","male",0
"813","3rd","adult","male",0
"814","3rd","adult","male",0
"815","3rd","adult","male",0
"816","3rd","adult","male",0
"817","3rd","adult","male",0
"818","3rd","adult","male",0
"819","3rd","adult","male",0
"820","3rd","adult","male",0
"821","3rd","adult","male",0
"822","3rd","adult","male",0
"823","3rd","adult","male",0
"824","3rd","adult","male",0
"825","3rd","adult","male",0
"826","3rd","adult","male",0
"827","3rd","adult","male",0
"828","3rd","adult","male",0
"829","3rd","adult","male",0
"830","3rd","adult","male",0
"831","3rd","adult","male",0
"832","3rd","adult","male",0
"833","3rd","adult","male",0
"834","3rd","adult","male",0
"835","3rd","adult","male",0
"836","3rd","adult","male",0
"837","3rd","adult","male",0
"838","3rd","adult","male",0
"839","3rd","adult","male",0
"840","3rd","adult","male",0
"841","3rd","adult","male",0
"842","3rd","adult","male",0
"843","3rd","adult","male",0
"844","3rd","adult","male",0
"845","3rd","adult","male",0
"846","3rd","adult","male",0
"847","3rd","adult","male",0
"848","3rd","adult","male",0
"849","3rd","adult","male",0
"850","3rd","adult","male",0
"851","3rd","adult","male",0
"852","3rd","adult","male",0
"853","3rd","adult","male",0
"854","3rd","adult","male",0
"855","3rd","adult","male",0
"856","3rd","adult","male",0
"857","3rd","adult","male",0
"858","3rd","adult","male",0
"859","3rd","adult","male",0
"860","3rd","adult","male",0
"861","3rd","adult","male",0
"862","3rd","adult","male",0
"863","3rd","adult","male",0
"864","3rd","adult","male",0
"865","3rd","adult","male",0
"866","3rd","adult","male",0
"867","3rd","adult","male",0
"868","3rd","adult","male",0
"869","3rd","adult","male",0
"870","3rd","adult","male",0
"871","3rd","adult","male",0
"872","3rd","adult","male",0
"873","3rd","adult","male",0
"874","3rd","adult","male",0
"875","3rd","adult","male",0
"876","3rd","adult","male",0
"877","3rd","adult","male",0
"878","3rd","adult","male",0
"879","3rd","adult","male",0
"880","3rd","adult","male",0
"881","3rd","adult","male",0
"882","3rd","adult","male",0
"883","3rd","adult","male",0
"884","3rd","adult","male",0
"885","3rd","adult","male",0
"886","3rd","adult","male",0
"887","3rd","adult","male",0
"888","3rd","adult","male",0
"889","3rd","adult","male",0
"890","3rd","adult","male",0
"891","3rd","adult","male",0
"892","3rd","adult","male",0
"893","3rd","adult","male",0
"894","3rd","adult","male",0
"895","3rd","adult","male",0
"896","3rd","adult","male",0
"897","3rd","adult","male",0
"898","3rd","adult","male",0
"899","3rd","adult","male",0
"900","3rd","adult","male",0
"901","3rd","adult","male",0
"902","3rd","adult","male",0
"903","3rd","adult","male",0
"904","3rd","adult","male",0
"905","3rd","adult","male",0
"906","3rd","adult","male",0
"907","3rd","adult","male",0
"908","3rd","adult","male",0
"909","3rd","adult","male",0
"910","3rd","adult","male",0
"911","3rd","adult","male",0
"912","3rd","adult","male",0
"913","3rd","adult","male",0
"914","3rd","adult","male",0
"915","3rd","adult","male",0
"916","3rd","adult","male",0
"917","3rd","adult","male",0
"918","3rd","adult","male",0
"919","3rd","adult","male",0
"920","3rd","adult","male",0
"921","3rd","adult","male",0
"922","3rd","adult","male",0
"923","3rd","adult","male",0
"924","3rd","adult","male",0
"925","3rd","adult","male",0
"926","3rd","adult","male",0
"927","3rd","adult","male",0
"928","3rd","adult","male",0
"929","3rd","adult","male",0
"930","3rd","adult","male",0
"931","3rd","adult","male",0
"932","3rd","adult","male",0
"933","3rd","adult","male",0
"934","3rd","adult","male",0
"935","3rd","adult","male",0
"936","3rd","adult","male",0
"937","3rd","adult","male",0
"938","3rd","adult","male",0
"939","3rd","adult","male",0
"940","3rd","adult","male",0
"941","3rd","adult","male",0
"942","3rd","adult","male",0
"943","3rd","adult","male",0
"944","3rd","adult","male",0
"945","3rd","adult","male",0
"946","3rd","adult","male",0
"947","3rd","adult","male",0
"948","3rd","adult","male",0
"949","3rd","adult","male",0
"950","3rd","adult","male",0
"951","3rd","adult","male",0
"952","3rd","adult","male",0
"953","3rd","adult","male",0
"954","3rd","adult","male",0
"955","3rd","adult","male",0
"956","3rd","adult","male",0
"957","3rd","adult","male",0
"958","3rd","adult","male",0
"959","3rd","adult","male",0
"960","3rd","adult","male",0
"961","3rd","adult","male",0
"962","3rd","adult","male",0
"963","3rd","adult","male",0
"964","3rd","adult","male",0
"965","3rd","adult","male",0
"966","3rd","adult","male",0
"967","3rd","adult","male",0
"968","3rd","adult","male",0
"969","3rd","adult","male",0
"970","3rd","adult","male",0
"971","3rd","adult","male",0
"972","3rd","adult","male",0
"973","3rd","adult","male",0
"974","3rd","adult","male",0
"975","3rd","adult","male",0
"976","3rd","adult","male",0
"977","3rd","adult","male",0
"978","3rd","adult","male",0
"979","3rd","adult","male",0
"980","3rd","adult","male",0
"981","3rd","adult","male",0
"982","3rd","adult","male",0
"983","3rd","adult","male",0
"984","3rd","adult","male",0
"985","3rd","adult","male",0
"986","3rd","adult","male",0
"987","3rd","adult","male",0
"988","3rd","adult","male",0
"989","3rd","adult","male",0
"990","3rd","adult","male",0
"991","3rd","adult","male",0
"992","3rd","adult","male",0
"993","3rd","adult","male",0
"994","3rd","adult","male",0
"995","3rd","adult","male",0
"996","3rd","adult","male",0
"997","3rd","adult","male",0
"998","3rd","adult","male",0
"999","3rd","adult","male",0
"1000","3rd","adult","male",0
"1001","3rd","adult","male",0
"1002","3rd","adult","male",0
"1003","3rd","adult","male",0
"1004","3rd","adult","male",0
"1005","3rd","adult","male",0
"1006","3rd","adult","male",0
"1007","3rd","adult","male",0
"1008","3rd","adult","male",0
"1009","3rd","adult","male",0
"1010","3rd","adult","male",0
"1011","3rd","adult","male",0
"1012","3rd","adult","male",0
"1013","3rd","adult","male",0
"1014","3rd","adult","male",0
"1015","3rd","adult","male",0
"1016","3rd","adult","male",0
"1017","3rd","adult","male",0
"1018","3rd","adult","male",0
"1019","3rd","adult","male",0
"1020","3rd","adult","male",0
"1021","3rd","adult","male",0
